trial,start_hunt,end_hunt,capture_time,tube_weight_with_roach,tube_weight_no_roach,roach_weight,date,day,Video_File
1,0:35:22,Failure (crawled into ball at 0:48:30),0:30:00,8.473,8.349,0.124,5/12/25,0,RCC00040_bucket_e3v81a8-20250512T165256-175257.mp4
1,0:21:16,0:41:05,0:19:49,8.434,8.34,0.094,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T100354-110354.mp4
2,0:54:58,1:06:06,0:11:08,8.341,8.222,0.119,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T100354-110354.mp4
3,0:12:12,"Failure (ends at 11:48 AM, 0:35:00)",0:30:00,8.577,8.416,0.161,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T110354-120355.mp4
4,0:48:31,1:18:55,0:30:00,8.552,8.445,0.107,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T110354-120355.mp4
5,0:31:55,"Failure (ends at 1:09 PM, 1:06:15)",0:30:00,8.514,8.354,0.16,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T120355-130356.mp4
6,0:06:32,"Failure (ends at 1:56 PM, 0:52:15)",0:30:00,8.427,8.251,0.176,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T130356-140357.mp4
1,0:43:25,0:52:41,0:09:16,8.461,8.341,0.12,5/15/25,2,RCC00040_bucket_e3v81a8-20250515T082657-092657.mp4
2,0:57:45,1:24:25,0:26:40,8.353,8.221,0.132,5/15/25,2,RCC00040_bucket_e3v81a8-20250515T082657-092657.mp4
3,0:27:05,0:31:57,0:04:52,8.57,8.418,0.152,5/15/25,2,RCC00040_bucket_e3v81a8-20250515T092657-102657.mp4
4,0:38:29,0:41:01,0:02:32,8.535,8.447,0.088,5/15/25,2,RCC00040_bucket_e3v81a8-20250515T092657-102657.mp4
5,0:48:41,0:50:05,0:01:24,8.454,8.356,0.098,5/15/25,2,RCC00040_bucket_e3v81a8-20250515T092657-102657.mp4
6,0:01:52,0:05:45,0:03:53,8.437,8.26,0.177,5/15/25,2,RCC00040_bucket_e3v81a8-20250515T102657-112658.mp4
1,0:20:23,0:23:13,0:02:50,8.488,8.342,0.146,5/16/25,3,RCC00040_bucket_e3v81a8-20250516T090018-100019.mp4
2,0:33:24,0:34:44,0:01:20,8.313,8.22,0.093,5/16/25,3,RCC00040_bucket_e3v81a8-20250516T090018-100019.mp4
3,0:47:41,0:51:02,0:03:21,8.591,8.416,0.175,5/16/25,3,RCC00040_bucket_e3v81a8-20250516T090018-100019.mp4
4,0:04:31,0:07:30,0:02:59,8.598,8.445,0.153,5/16/25,3,RCC00040_bucket_e3v81a8-20250516T100019-110019.mp4
5,0:20:53,0:22:35,0:01:42,8.533,8.357,0.176,5/16/25,3,RCC00040_bucket_e3v81a8-20250516T100019-110019.mp4
6,0:34:46,0:37:18,0:02:32,8.423,8.257,0.166,5/16/25,3,RCC00040_bucket_e3v81a8-20250516T100019-110019.mp4
1,0:19:34,0:24:54,0:05:20,8.626,8.479,0.147,5/17/25,4,RCC00040_bucket_e3v81a8-20250517T085138-095138.mp4
2,0:29:33,0:35:17,0:05:44,8.651,8.512,0.139,5/17/25,4,RCC00040_bucket_e3v81a8-20250517T085138-095138.mp4
3,0:39:43,0:45:15,0:05:32,8.416,8.279,0.137,5/17/25,4,RCC00040_bucket_e3v81a8-20250517T085138-095138.mp4
4,0:50:04,0:52:11,0:02:07,8.386,8.248,0.138,5/17/25,4,RCC00040_bucket_e3v81a8-20250517T085138-095138.mp4
5,0:59:28,1:00:55,0:01:27,8.389,8.296,0.093,5/17/25,4,RCC00040_bucket_e3v81a8-20250517T085138-095138.mp4
6,0:09:20,0:10:38,0:01:18,8.433,8.314,0.119,5/17/25,4,RCC00040_bucket_e3v81a8-20250517T095138-105139.mp4
