trial,start_contact_wall_time,start_contact_in_video,duration,capture_or_not,roach_weight,date,day,Video_File,video_start_time,duration_confidence,description
1,23:08:11,0:38:16,38,Y,0.201,9/18/25,0,RCC00059_bucket_e3v810a-20250918T222954-232955.mp4,22:29:54,Low,can be either 38 or 47 seconds. The mouse held the roach and run around nervously.
1,9:32:38,0:01:21,0.5,N,0.179,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4,9:31:17,,
1,9:35:11,0:03:54,0.3,N,0.179,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4,9:31:17,,
1,9:35:24,0:04:07,0.5,N,0.179,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4,9:31:17,,
1,9:36:04,0:04:47,4.2,N,0.179,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4,9:31:17,,
1,9:36:09,0:04:52,31,Y,0.179,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4,9:31:17,High,Headless roach thrown out at 9:36:44
2,9:48:14,0:16:57,0.5,N,0.183,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4,9:31:17,,
2,9:49:53,0:18:36,0.9,N,0.183,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4,9:31:17,,
2,9:50:32,0:19:15,4.8,N,0.183,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4,9:31:17,,
2,9:50:38,0:19:21,1.3,N,0.183,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4,9:31:17,,
2,9:50:42,0:19:25,38,N,0.183,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4,9:31:17,,
2,9:51:28,0:20:11,3,N,0.183,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4,9:31:17,,
2,9:51:32,0:20:15,24,Y,0.183,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4,9:31:17,High,
3,10:04:12,0:32:55,0.5,N,0.17,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4,9:31:17,,
3,10:04:21,0:33:04,1.1,N,0.17,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4,9:31:17,,
3,10:04:26,0:33:09,4.4,N,0.17,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4,9:31:17,,
3,10:04:35,0:33:18,3,N,0.17,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4,9:31:17,,
3,10:04:40,0:33:23,16,Y,0.17,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4,9:31:17,Low,Not sure whether the roach is impaired at 10:04:45 (whether I should start a new attempt from there)
4,10:28:05,0:56:48,1.8,N,0.192,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4,9:31:17,,
4,10:28:45,0:57:28,2,N,0.192,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4,9:31:17,,"roach got buried by the bedding, mouse very confused"
4,10:37:15,0:05:58,5,N,0.192,9/20/25,1,RCC00059_bucket_e3v810a-20250920T103117-113118.mp4,10:31:17,,mouse dug out the roach
