trial,start_hunt,end_hunt,capture_time,tube_weight_with_roach,tube_weight_no_roach,roach_weight,date,day,Video_File
1,0:25:17,3:51:28,3:26:11,8.646,8.479,0.167,5/20/25,0,RCC00041_bucket_e3v81a8-20250520T163705-173706.mp4
1,0:40:33,1:08:21,0:27:48,8.569,8.478,0.091,5/22/25,1,RCC00041_bucket_e3v81a8-20250522T083737-093737.mp4
2,0:09:38,"Failure (ends at 10:21:00, 00:43:27)",0:30:00,8.645,8.515,0.13,5/22/25,1,RCC00041_bucket_e3v81a8-20250522T093737-103738.mp4
3,0:43:59,"Failure (ends at 10:52:20, 01:14:44)",0:30:00,8.478,8.281,0.197,5/22/25,1,RCC00041_bucket_e3v81a8-20250522T093737-103738.mp4
4,0:14:55,"Failure (ends at 11:24:23, 00:46:48)",0:30:00,8.35,8.248,0.102,5/22/25,1,RCC00041_bucket_e3v81a8-20250522T103738-113738.mp4
5,0:47:08,"Failure (ends at 11:55:00, 01:17:24)",0:30:00,8.395,8.3,0.095,5/22/25,1,RCC00041_bucket_e3v81a8-20250522T103738-113738.mp4
6,0:17:39,"Failure (ends at 12:27:01, 00:49:25)",0:30:00,8.432,8.314,0.118,5/22/25,1,RCC00041_bucket_e3v81a8-20250522T113738-123739.mp4
1,0:49:28,Failed,0:30:00,8.68,8.506,0.174,5/23/25,2,RCC00041_bucket_e3v81a8-20250523T083754-093754.mp4
2,0:27:27,Failed,0:30:00,8.651,8.527,0.124,5/23/25,2,RCC00041_bucket_e3v81a8-20250523T093754-103754.mp4
3,0:06:18,Failed,0:30:00,8.407,8.295,0.112,5/23/25,2,RCC00041_bucket_e3v81a8-20250523T103754-113755.mp4
4,0:01:13,0:18:32,0:17:19,8.853,8.267,0.586,5/23/25,2,RCC00041_bucket_e3v81a8-20250523T113755-123756.mp4
5,0:30:35,Failed (at 12:29 am),0:30:00,8.404,8.315,0.089,5/23/25,2,RCC00041_bucket_e3v81a8-20250523T113755-123756.mp4
6,0:02:57,"Failed (at 13:22:00, 00:44:05)",0:30:00,8.508,8.338,0.17,5/23/25,2,RCC00041_bucket_e3v81a8-20250523T123756-133757.mp4
1,0:26:48,Failed,0:30:00,8.584,8.506,0.078,5/24/25,3,RCC00041_bucket_e3v81a8-20250524T092913-102913.mp4
2,0:00:23,Failed,0:30:00,8.619,8.543,0.076,5/24/25,3,RCC00041_bucket_e3v81a8-20250524T102913-112914.mp4
3,0:30:31,Failed,0:30:00,8.376,8.278,0.098,5/24/25,3,RCC00041_bucket_e3v81a8-20250524T102913-112914.mp4
4,0:03:57,Failed,0:30:00,8.365,8.248,0.117,5/24/25,3,RCC00041_bucket_e3v81a8-20250524T112913-122914.mp4
5,0:35:02,Failed,0:30:00,8.433,8.3,0.133,5/24/25,3,RCC00041_bucket_e3v81a8-20250524T112913-122914.mp4
6,0:05:28,Failed,0:30:00,8.461,8.317,0.144,5/24/25,3,RCC00041_bucket_e3v81a8-20250524T122914-132915.mp4
1,0:04:15,0:18:45,0:14:30,8.409,8.22,0.189,5/26/25,4,RCC00041_bucket_e3v810a-20250526T105503-115503.mp4
2,0:31:43,Failed,0:30:00,7.947,7.81,0.137,5/26/25,4,RCC00041_bucket_e3v810a-20250526T105503-115503.mp4
3,0:18:44,Failed,0:30:00,8.246,8.179,0.067,5/26/25,4,RCC00041_bucket_e3v810a-20250526T125504-135505.mp4
4,0:55:50,Failed,0:30:00,8.245,8.135,0.11,5/26/25,4,RCC00041_bucket_e3v810a-20250526T135505-145510.mp4
5,0:40:42,Failed,0:30:00,8.16,8.055,0.105,5/26/25,4,RCC00041_bucket_e3v810a-20250526T145506-155507.mp4
6,0:12:05,Failed,0:30:00,8.318,8.175,0.143,5/26/25,4,RCC00041_bucket_e3v810a-20250526T155507-165507.mp4
